Main thread
Entered thread2! Thread ID: 3067143376

Entered Child 1! Thread ID: 3069240528

Count of j is 26
Count of q is 4
Count of x is 84
Count of z is 12
Time taken for thread 1 execution = 0.030000 seconds

CPU Utilization = 23.163630 %
CPU Utilization = 23.167891 %
CPU Utilization = 23.173749 %
CPU Utilization = 23.178542 %
CPU Utilization = 23.183866 %
CPU Utilization = 23.189721 %
CPU Utilization = 23.194512 %
CPU Utilization = 23.198237 %
CPU Utilization = 23.203026 %
CPU Utilization = 23.207283 %
CPU Utilization = 23.212071 %
CPU Utilization = 23.217391 %
CPU Utilization = 23.222178 %
CPU Utilization = 23.227496 %
CPU Utilization = 23.233345 %
CPU Utilization = 23.237598 %
CPU Utilization = 23.241319 %
CPU Utilization = 23.246635 %
CPU Utilization = 23.253012 %
CPU Utilization = 23.257794 %
CPU Utilization = 23.263108 %
CPU Utilization = 23.268951 %
CPU Utilization = 23.274794 %
CPU Utilization = 23.280636 %
CPU Utilization = 23.286477 %
CPU Utilization = 23.292317 %
CPU Utilization = 23.298156 %
CPU Utilization = 23.303994 %
CPU Utilization = 23.309831 %
CPU Utilization = 23.315668 %
CPU Utilization = 23.321503 %
CPU Utilization = 23.327338 %
CPU Utilization = 23.333172 %
CPU Utilization = 23.339005 %
CPU Utilization = 23.344837 %
CPU Utilization = 23.350668 %
CPU Utilization = 23.356498 %
CPU Utilization = 23.362328 %
CPU Utilization = 23.368156 %
CPU Utilization = 23.373984 %
CPU Utilization = 23.379810 %
CPU Utilization = 23.385636 %
CPU Utilization = 23.391461 %
CPU Utilization = 23.397285 %
CPU Utilization = 23.403108 %
CPU Utilization = 23.408931 %
CPU Utilization = 23.414752 %
CPU Utilization = 23.420573 %
CPU Utilization = 23.426392 %
CPU Utilization = 23.432211 %
CPU Utilization = 23.438029 %
CPU Utilization = 23.443846 %
CPU Utilization = 23.449662 %
CPU Utilization = 23.455477 %
CPU Utilization = 23.461291 %
CPU Utilization = 23.466576 %
CPU Utilization = 23.472389 %
CPU Utilization = 23.478201 %
CPU Utilization = 23.484012 %
CPU Utilization = 23.489822 %
CPU Utilization = 23.495631 %
CPU Utilization = 23.501439 %
CPU Utilization = 23.507246 %
CPU Utilization = 23.513053 %
CPU Utilization = 23.518858 %
CPU Utilization = 23.524663 %
CPU Utilization = 23.529939 %
CPU Utilization = 23.535742 %
CPU Utilization = 23.541545 %
CPU Utilization = 23.547346 %
CPU Utilization = 23.553146 %
CPU Utilization = 23.558946 %
CPU Utilization = 23.564744 %
CPU Utilization = 23.570542 %
CPU Utilization = 23.576339 %
CPU Utilization = 23.582135 %
CPU Utilization = 23.587930 %
CPU Utilization = 23.593724 %
CPU Utilization = 23.599517 %
CPU Utilization = 23.605310 %
CPU Utilization = 23.611102 %
CPU Utilization = 23.616892 %
CPU Utilization = 23.622682 %
CPU Utilization = 23.628471 %
CPU Utilization = 23.634259 %
CPU Utilization = 23.640046 %
CPU Utilization = 23.645833 %
CPU Utilization = 23.651618 %
CPU Utilization = 23.657403 %
CPU Utilization = 23.663186 %
CPU Utilization = 23.668969 %
CPU Utilization = 23.674751 %
CPU Utilization = 23.680532 %
CPU Utilization = 23.686312 %
CPU Utilization = 23.692092 %
CPU Utilization = 23.697870 %
CPU Utilization = 23.703648 %
CPU Utilization = 23.709424 %
CPU Utilization = 23.715200 %
CPU Utilization = 23.720975 %
CPU Utilization = 23.726749 %
CPU Utilization = 23.732522 %
CPU Utilization = 23.738295 %
CPU Utilization = 23.744066 %
CPU Utilization = 23.749837 %
CPU Utilization = 23.755606 %
CPU Utilization = 23.761375 %
Thread 2 Exit due to USR1 signal
Time taken for thread 2 execution = 9.840000 seconds
